"Merchant Name","Article Name","Order Date",Quantity,"Tracking ID","Order Id","RMA Value",Status
dfdsfdsf,ffsf,07/14/2022,5,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
sd,fdfdfds,07/14/2022,4,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
sd,fdfdfds,07/14/2022,4,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
vnbv,gfghf,07/14/2022,5,,,,"In Progress"
sd,fdfdfds,07/14/2022,4,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
sd,fdfdfds,07/14/2022,4,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
vnbv,gfghf,07/14/2022,5,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
sd,fdfdfds,07/14/2022,4,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
vnbv,gfghf,07/14/2022,5,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
fsfsdf,dsfdsfdsfdsf,07/14/2022,4,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
sd,fdfdfds,07/14/2022,4,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
ds,dsadsads,07/14/2022,5,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
fdgdfg,treeeee,07/14/2022,6,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
sdsads,apple,07/14/2022,4,,,,"In Progress"
tst,trachabcd,07/14/2022,7,,,,"In Progress"
sdsa,smobile,07/14/2022,8,,,,"In Progress"
sdsa,smobile,07/14/2022,8,,,,"In Progress"
sdsa,smobile,07/14/2022,8,,,,"In Progress"
sdsa,smobile,07/14/2022,8,,,,"In Progress"
sdsa,smobile,07/14/2022,8,,,,"In Progress"
sfhdsjh,john,07/14/2022,1,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
sfhdsjh,john,07/14/2022,1,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
sadaj,hsakdh,07/14/2022,4,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
sd,"dad test",07/14/2022,4,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dfds,srikanth,07/14/2022,6,,,,"In Progress"
dsad,sadasds,07/15/2022,5,,,,"In Progress"
dsad,sadasds,07/15/2022,5,,,,"In Progress"
dsad,sadasds,07/15/2022,5,,,,"In Progress"
dsad,sadasds,07/15/2022,5,,,,"In Progress"
dsad,sadasds,07/15/2022,5,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dsfdsf,sfdfs,07/15/2022,7,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dsf,dsfdsfd,07/15/2022,8,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
sdf,fdsfdsfsdf,07/15/2022,4,,,,"In Progress"
dfsf,fdsfdfds,07/15/2022,5,,,,"In Progress"
ds,dsfdsfds,07/15/2022,5,,,,"In Progress"
sad,"srikanth test test",07/15/2022,7,,,,"In Progress"
sd,sadasd,07/15/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
sdsd,sdsdasdsd,07/19/2022,6,,,,"In Progress"
dsf,fdsfdsf,07/19/2022,5,,,,"In Progress"
amazon,"item 1",08/11/2022,5,,,,"In Progress"
amazon,"item 1",08/11/2022,5,,,,"In Progress"
amazon,"item 1",08/11/2022,5,,,,"In Progress"
amazon,"item 1",08/11/2022,5,,,,"In Progress"
amazon,"item 2",08/11/2022,2,,,,"In Progress"
amazon,"item 1",08/11/2022,5,,,,"In Progress"
amazon,"item 2",08/11/2022,2,,,,"In Progress"
amazon,"item 1",08/11/2022,5,,,,"In Progress"
amazon,"item 2",08/11/2022,2,,,,"In Progress"
amazon,"test art",08/17/2022,8,track6622,"test art","test art","In Progress"
test,test,08/17/2022,5,trach3333,test,test,"In Progress"
test,test,08/17/2022,3,trach3333,test,test,"In Progress"
tst,"test art",08/19/2022,6,trach444333,6543,"test art","In Progress"
test,test,08/19/2022,6,testsrikanth,test,test,"In Progress"
test,test,08/19/2022,6,test444333,test,test,"In Progress"
dsfdsf,dsf,08/24/2022,6,,,,"In Progress"
"test new abcd",dsadsa,08/24/2022,5,,,,"In Progress"
srikanth,"sri art",08/24/2022,5,,,,"In Progress"
amazon,shirt,08/24/2022,7,,,,"In Progress"
"test test test",test,08/24/2022,4,,,,"In Progress"
abcdabcd,abcdabcd,08/24/2022,8,,,,"In Progress"
test,test,08/24/2022,3,,,,"In Progress"
amazon,cap,08/25/2022,7,,,,"In Progress"
amazon,"item 2",08/25/2022,2,,,,"In Progress"
sdsd,dfsf,09/01/2022,4,tr333311,fdsfs,dsfds,"In Progress"
sada,sdfdsf,09/01/2022,2,tr22222222,fsdfdf,dsfd,"In Progress"
mouni,hello,09/05/2022,3,321,43,123,"In Progress"
mouni,hello,09/05/2022,3,234,43,123,"In Progress"
test1,zxc,09/05/2022,32,100,56,234,"In Progress"
test1,zxc,09/05/2022,32,10001,56,234,"In Progress"
test1,zxc,09/05/2022,32,112,56,234,"In Progress"
test1,zxc,09/05/2022,32,11288,56,234,"In Progress"
